date,ticker,action,price,shares,weight,combo_rank,rebalance_id,pnl,reason
2008-10-02,GD,BUY,47.17328758579759,176.72383123668942,0.04999999999999999,12.0,36,0.0,rebalance
2008-10-02,DIS,BUY,25.022291937018053,452.0141295383246,0.04999999999999999,13.0,36,0.0,rebalance
2008-10-02,AMGN,BUY,39.51119078915096,1247.2034602514918,0.04999999999999999,14.0,36,0.0,rebalance
2008-10-02,EXPE,BUY,19.204698179011327,819.719553114348,0.04999999999999999,15.0,36,0.0,rebalance
2008-10-02,CMI,BUY,27.471799349620053,1512.847854480588,0.04999999999999999,16.0,36,0.0,rebalance
2008-10-02,TXT,BUY,26.60377378596778,5324.0829716073695,0.04999999999999999,17.0,36,0.0,rebalance
2008-10-02,OKE,BUY,5.7969882295837465,24464.333121306263,0.04999999999999999,18.0,36,0.0,rebalance
2008-10-02,INTU,BUY,26.608480296725805,1048.7097981376637,0.04999999999999999,19.0,36,0.0,rebalance
2008-10-02,UNP,BUY,23.533144906176734,171.45484024631696,0.04999999999999999,20.0,36,0.0,rebalance
2008-10-06,SPGI,STOP,19.19491810629957,6606.269579036007,0.0,,0,-0.31888132146809944,risk_exit
2008-10-06,CRM,STOP,9.746382710420725,12528.018780851275,0.0,,0,-0.3390000262441203,risk_exit
2008-10-07,ALGN,STOP,8.630000114440918,13470.910851530201,0.0,,0,-0.30682728942545223,risk_exit
2008-10-08,EXPE,STOP,16.524365063544668,7372.090828405388,0.0,,0,-0.3075245635875361,risk_exit
2008-10-10,TXT,STOP,16.106020999186367,5324.0829716073695,0.0,,0,-0.3945963783648798,risk_exit
2008-10-10,CMI,STOP,19.98666752797148,5153.972973100466,0.0,,0,-0.38069500830631553,risk_exit
2008-10-10,HST,STOP,4.317354894724102,20290.048195165942,0.0,,0,-0.4009415550108528,risk_exit
2008-10-10,BKR,STOP,17.023596436698842,5219.036809084618,0.0,,0,-0.3966196488381426,risk_exit
2008-10-13,BSX,STOP,8.279999732971191,12582.514451838464,0.0,,0,-0.27811686659044477,risk_exit
2008-10-13,OKE,STOP,4.111145989824765,24464.333121306263,0.0,,0,-0.2908134660608124,risk_exit
2008-10-13,EFX,STOP,22.605668276509892,5168.20183961448,0.0,,0,-0.2801325843381969,risk_exit
2008-10-13,DGX,STOP,30.96632228282882,3756.8196588454625,0.0,,0,-0.2825306838838858,risk_exit
2008-10-13,GD,STOP,39.21256101773449,3001.289377152372,0.0,,0,-0.2920971609784566,risk_exit
2008-10-27,VMC,STOP,39.395452439264794,2413.1586384869674,0.0,,0,-0.3283100686673457,risk_exit
2008-10-27,IBM,STOP,42.20413604292112,2481.9423376015047,0.0,,0,-0.31682574819790277,risk_exit
2008-11-13,DIS,STOP,16.697973028118913,5658.265911068773,0.0,,0,-0.31140238350649385,risk_exit
2008-11-20,UNP,STOP,17.13923819687637,6027.830250474681,0.0,,0,-0.32027003397988185,risk_exit
2009-01-05,VMC,BUY,58.02221088582811,1841.401434716768,0.04999999999999999,1.0,37,0.0,rebalance
2009-01-05,EFX,BUY,22.73810017955273,4700.002518943461,0.04999999999999999,2.0,37,0.0,rebalance
2009-01-05,BSX,BUY,7.829999923706055,13653.147520587538,0.04999999999999999,3.0,37,0.0,rebalance
2009-01-05,STE,BUY,17.741532192188206,723.6017431055207,0.04999999999999999,4.0,37,0.0,rebalance
2009-01-05,DGX,BUY,38.68593760128676,2764.3161558005904,0.04999999999999999,5.0,37,0.0,rebalance
2009-01-05,BKR,BUY,16.777908658751688,6374.108570682329,0.04999999999999999,6.0,37,0.0,rebalance
